Chip,Time,Replicate
1772502_532.xys,0,1
4589002_532.xys,0,1
4589102_532.xys,0,1
4591002_532.xys,1,1
4591102_532.xys,1,1
4591302_532.xys,1,1
4591702_532.xys,0,2
4591802_532.xys,0,2
4595402_532.xys,1,2
4595602_532.xys,1,2
4595802_532.xys,1,2
