TTHERM_ID,leiden_label_full
TTHERM_00736532,0
TTHERM_00245190,0
TTHERM_000730311,0
TTHERM_00541480,0
TTHERM_01207650,0
TTHERM_00148960,0
TTHERM_00298390,0
TTHERM_00074260,0
TTHERM_00292150,0
TTHERM_00470720,0
TTHERM_00129070,0
TTHERM_000773538,0
TTHERM_00529510,0
TTHERM_00781030,0
TTHERM_01031260,0
TTHERM_00444410,0
TTHERM_000780829,0
TTHERM_00221019,0
TTHERM_01179900,0
TTHERM_00078890,0
TTHERM_00113150,0
TTHERM_00348870,0
TTHERM_00475110,0
TTHERM_000794408,0
TTHERM_00188630,0
TTHERM_00865160,0
TTHERM_000804799,0
TTHERM_00443109,0
TTHERM_00082260,0
TTHERM_01194640,0
TTHERM_000823849,0
TTHERM_01016130,0
TTHERM_00085510,0
TTHERM_00251100,0
TTHERM_00312810,0
TTHERM_00091710,0
TTHERM_00591650,0
TTHERM_00093970,0
TTHERM_00094060,0
TTHERM_00865350,0
TTHERM_00353510,0
TTHERM_00697550,0
TTHERM_00684480,0
TTHERM_00558160,0
TTHERM_000971841,0
TTHERM_00924230,0
TTHERM_00137970,0
TTHERM_001035551,0
TTHERM_00338080,0
TTHERM_00105160,0
TTHERM_00647000,0
TTHERM_00170180,0
TTHERM_00105260,0
TTHERM_00522560,0
TTHERM_01049350,0
TTHERM_00105460,0
TTHERM_00392980,0
TTHERM_00554610,0
TTHERM_00641120,0
TTHERM_00649010,0
TTHERM_00535150,0
TTHERM_00323110,0
TTHERM_00118740,0
TTHERM_00730320,0
TTHERM_00304220,0
TTHERM_01097960,0
TTHERM_00125480,0
TTHERM_00149500,0
TTHERM_00151450,0
TTHERM_00194510,0
TTHERM_00320300,0
TTHERM_00780470,0
TTHERM_00945242,0
TTHERM_01109930,0
TTHERM_00905060,0
TTHERM_00136040,0
TTHERM_00128960,0
TTHERM_00243790,0
TTHERM_00391610,0
TTHERM_00149590,0
TTHERM_00225860,0
TTHERM_00529900,0
TTHERM_00145240,0
TTHERM_001326880,0
TTHERM_00689970,0
TTHERM_00241600,0
TTHERM_00151070,0
TTHERM_00133500,0
TTHERM_00444610,0
TTHERM_00471470,0
TTHERM_00590270,0
TTHERM_01298480,0
TTHERM_00133660,0
TTHERM_00136020,0
TTHERM_00578720,0
TTHERM_00693240,0
TTHERM_00136460,0
TTHERM_00523030,0
TTHERM_00991630,0
TTHERM_01227730,0
TTHERM_00268200,0
TTHERM_00138340,0
TTHERM_00427460,0
TTHERM_00442600,0
TTHERM_00628400,0
TTHERM_00700920,0
TTHERM_00709740,0
TTHERM_00139720,0
TTHERM_00439120,0
TTHERM_00446530,0
TTHERM_00141060,0
TTHERM_00392979,0
TTHERM_00945280,0
TTHERM_00313440,0
TTHERM_00143710,0
TTHERM_00835010,0
TTHERM_00313020,0
TTHERM_00563970,0
TTHERM_00693250,0
TTHERM_00185760,0
TTHERM_00147560,0
TTHERM_00316540,0
TTHERM_00149280,0
TTHERM_01107310,0
TTHERM_00557850,0
TTHERM_00149560,0
TTHERM_00242110,0
TTHERM_00316910,0
TTHERM_00578710,0
TTHERM_00357090,0
TTHERM_00721740,0
TTHERM_00913380,0
TTHERM_01245630,0
TTHERM_00636870,0
TTHERM_00237520,0
TTHERM_00509000,0
TTHERM_00185310,0
TTHERM_00185660,0
TTHERM_00266620,0
TTHERM_00532620,0
TTHERM_00433450,0
TTHERM_00494630,0
TTHERM_00294820,0
TTHERM_01289160,0
TTHERM_00189120,0
TTHERM_00193250,0
TTHERM_00194330,0
TTHERM_00312850,0
TTHERM_00498160,0
TTHERM_00189380,0
TTHERM_00558370,0
TTHERM_01009870,0
TTHERM_00780570,0
TTHERM_00191860,0
TTHERM_00294840,0
TTHERM_00392800,0
TTHERM_00486360,0
TTHERM_00940320,0
TTHERM_00193660,0
TTHERM_00971840,0
TTHERM_00194240,0
TTHERM_00616170,0
TTHERM_00463380,0
TTHERM_00581500,0
TTHERM_00361370,0
TTHERM_00459320,0
TTHERM_00195970,0
TTHERM_01093560,0
TTHERM_00252420,0
TTHERM_00724700,0
TTHERM_00630490,0
TTHERM_00205170,0
TTHERM_00614840,0
TTHERM_00752170,0
TTHERM_00527400,0
TTHERM_00440370,0
TTHERM_00219040,0
TTHERM_00492810,0
TTHERM_00219260,0
TTHERM_01099110,0
TTHERM_00219450,0
TTHERM_00295290,0
TTHERM_00470548,0
TTHERM_00657630,0
TTHERM_00691340,0
TTHERM_00939230,0
TTHERM_00239420,0
TTHERM_00825200,0
TTHERM_00545860,0
TTHERM_00241680,0
TTHERM_00429820,0
TTHERM_00537040,0
TTHERM_00666200,0
TTHERM_00355430,0
TTHERM_00372440,0
TTHERM_00393350,0
TTHERM_00537370,0
TTHERM_00689840,0
TTHERM_00703710,0
TTHERM_00242330,0
TTHERM_00486610,0
TTHERM_00794230,0
TTHERM_00266760,0
TTHERM_00245220,0
TTHERM_00462990,0
TTHERM_00245700,0
TTHERM_00473110,0
TTHERM_00499340,0
TTHERM_00575510,0
TTHERM_00491290,0
TTHERM_00475320,0
TTHERM_01298610,0
TTHERM_00500830,0
TTHERM_00438800,0
TTHERM_00268160,0
TTHERM_00641080,0
TTHERM_00283650,0
TTHERM_00371030,0
TTHERM_00285620,0
TTHERM_00289170,0
TTHERM_00600400,0
TTHERM_00716140,0
TTHERM_01099150,0
TTHERM_00446410,0
TTHERM_00727840,0
TTHERM_00802460,0
TTHERM_01205380,0
TTHERM_00318790,0
TTHERM_00448760,0
TTHERM_00293370,0
TTHERM_01457090,0
TTHERM_00354799,0
TTHERM_00294930,0
TTHERM_00414230,0
TTHERM_00295200,0
TTHERM_00338110,0
TTHERM_00329870,0
TTHERM_00329920,0
TTHERM_00310890,0
TTHERM_00591550,0
TTHERM_00566690,0
TTHERM_00561710,0
TTHERM_00939140,0
TTHERM_00317270,0
TTHERM_00470930,0
TTHERM_00317510,0
TTHERM_00318870,0
TTHERM_00584490,0
TTHERM_00320250,0
TTHERM_00334360,0
TTHERM_00438860,0
TTHERM_00945240,0
TTHERM_00334380,0
TTHERM_01345810,0
TTHERM_00666420,0
TTHERM_00486990,0
TTHERM_00371000,0
TTHERM_00499510,0
TTHERM_01055730,0
TTHERM_00361720,0
TTHERM_00558360,0
TTHERM_00716250,0
TTHERM_00706410,0
TTHERM_00442780,0
TTHERM_00825210,0
TTHERM_00670790,0
TTHERM_00372340,0
TTHERM_00723010,0
TTHERM_00372520,0
TTHERM_00378790,0
TTHERM_01084270,0
TTHERM_00383600,0
TTHERM_01014800,0
TTHERM_00655720,0
TTHERM_00384990,0
TTHERM_00500930,0
TTHERM_00527280,0
TTHERM_00878130,0
TTHERM_00925750,0
TTHERM_00391510,0
TTHERM_00691900,0
TTHERM_00925480,0
TTHERM_00947560,0
TTHERM_00399420,0
TTHERM_00670830,0
TTHERM_00411530,0
TTHERM_00415750,0
TTHERM_00569490,0
TTHERM_00637030,0
TTHERM_00425880,0
TTHERM_00449060,0
TTHERM_00558250,0
TTHERM_00732760,0
TTHERM_00564510,0
TTHERM_00440530,0
TTHERM_00529770,0
TTHERM_00446250,0
TTHERM_00486660,0
TTHERM_01013200,0
TTHERM_00561340,0
TTHERM_00859280,0
TTHERM_00463350,0
TTHERM_00582060,0
TTHERM_00633240,0
TTHERM_00470710,0
TTHERM_00673440,0
TTHERM_00471380,0
TTHERM_00962060,0
TTHERM_00678120,0
TTHERM_00722940,0
TTHERM_00835100,0
TTHERM_00497600,0
TTHERM_00498010,0
TTHERM_00624129,0
TTHERM_00941430,0
TTHERM_00933180,0
TTHERM_01295280,0
TTHERM_00549500,0
TTHERM_01113110,0
TTHERM_01052910,0
TTHERM_00530140,0
TTHERM_00535210,0
TTHERM_00656100,0
TTHERM_00686210,0
TTHERM_00919520,0
TTHERM_00558480,0
TTHERM_00561300,0
TTHERM_00600210,0
TTHERM_00616360,0
TTHERM_00773430,0
TTHERM_00623010,0
TTHERM_00840000,0
TTHERM_00939030,0
TTHERM_00672230,0
TTHERM_00822210,0
TTHERM_00932040,0
TTHERM_00727730,0
TTHERM_00849290,0
TTHERM_00655470,0
TTHERM_00729120,0
TTHERM_00658730,0
TTHERM_00661670,0
TTHERM_00723320,0
TTHERM_00857800,0
TTHERM_00688410,0
TTHERM_00689900,0
TTHERM_00720120,0
TTHERM_01068140,0
TTHERM_01054250,0
TTHERM_01108640,0
TTHERM_00989420,0
TTHERM_00001200,1
TTHERM_00058850,1
TTHERM_00122300,1
TTHERM_00382130,1
TTHERM_00691580,1
TTHERM_00355140,1
TTHERM_000046379,1
TTHERM_00627190,1
TTHERM_00865060,1
TTHERM_00971780,1
TTHERM_00006010,1
TTHERM_00101210,1
TTHERM_00424720,1
TTHERM_01001440,1
TTHERM_00006120,1
TTHERM_00011880,1
TTHERM_000502529,1
TTHERM_00052460,1
TTHERM_000614679,1
TTHERM_00149260,1
TTHERM_00268280,1
TTHERM_00289380,1
TTHERM_00374930,1
TTHERM_00497570,1
TTHERM_00854230,1
TTHERM_00006140,1
TTHERM_000242129,1
TTHERM_000653668,1
TTHERM_00492310,1
TTHERM_00535630,1
TTHERM_00561740,1
TTHERM_00008740,1
TTHERM_00338240,1
TTHERM_00427430,1
TTHERM_01216090,1
TTHERM_000129647,1
TTHERM_00561440,1
TTHERM_00842410,1
TTHERM_000133669,1
TTHERM_00106969,1
TTHERM_00148920,1
TTHERM_00452020,1
TTHERM_00013760,1
TTHERM_00530240,1
TTHERM_00678290,1
TTHERM_00431350,1
TTHERM_01076910,1
TTHERM_000160719,1
TTHERM_00263000,1
TTHERM_00377370,1
TTHERM_00535950,1
TTHERM_00864850,1
TTHERM_000392949,1
TTHERM_00438850,1
TTHERM_000181089,1
TTHERM_000849319,1
TTHERM_00193210,1
TTHERM_00361380,1
TTHERM_00426250,1
TTHERM_00529580,1
TTHERM_000186039,1
TTHERM_00127160,1
TTHERM_00310880,1
TTHERM_00535550,1
TTHERM_000187168,1
TTHERM_00151580,1
TTHERM_00541460,1
TTHERM_00601860,1
TTHERM_00979780,1
TTHERM_000688719,1
TTHERM_00535990,1
TTHERM_00024130,1
TTHERM_00070770,1
TTHERM_00437400,1
TTHERM_000241669,1
TTHERM_000594179,1
TTHERM_00684460,1
TTHERM_00101180,1
TTHERM_00463860,1
TTHERM_00787070,1
TTHERM_00024380,1
TTHERM_00024410,1
TTHERM_00373770,1
TTHERM_01169430,1
TTHERM_000797949,1
TTHERM_000585349,1
TTHERM_00028510,1
TTHERM_00243800,1
TTHERM_00475020,1
TTHERM_00500730,1
TTHERM_00985010,1
TTHERM_00028530,1
TTHERM_00571980,1
TTHERM_00028550,1
TTHERM_00160690,1
TTHERM_00388270,1
TTHERM_00802440,1
TTHERM_000295039,1
TTHERM_00499350,1
TTHERM_000295199,1
TTHERM_00125160,1
TTHERM_00579000,1
TTHERM_00295640,1
TTHERM_00030080,1
TTHERM_000471259,1
TTHERM_01244570,1
TTHERM_00030560,1
TTHERM_00563870,1
TTHERM_01109949,1
TTHERM_00238930,1
TTHERM_000318619,1
TTHERM_00313830,1
TTHERM_00332160,1
TTHERM_00727630,1
TTHERM_00772030,1
TTHERM_000343324,1
TTHERM_00079270,1
TTHERM_00106800,1
TTHERM_00467500,1
TTHERM_00569100,1
TTHERM_00653680,1
TTHERM_00752160,1
TTHERM_01018410,1
TTHERM_01054220,1
TTHERM_00462870,1
TTHERM_000354599,1
TTHERM_00046500,1
TTHERM_00600440,1
TTHERM_00658950,1
TTHERM_00035490,1
TTHERM_00140950,1
TTHERM_00389740,1
TTHERM_000363079,1
TTHERM_000370809,1
TTHERM_00343670,1
TTHERM_01123840,1
TTHERM_00037120,1
TTHERM_01126410,1
TTHERM_000374979,1
TTHERM_000600259,1
TTHERM_00161260,1
TTHERM_00373810,1
TTHERM_00390170,1
TTHERM_000383509,1
TTHERM_00766500,1
TTHERM_00039050,1
TTHERM_00316840,1
TTHERM_01208740,1
TTHERM_00137900,1
TTHERM_00355750,1
TTHERM_00722990,1
TTHERM_01093600,1
TTHERM_00527140,1
TTHERM_000393228,1
TTHERM_00151860,1
TTHERM_00575370,1
TTHERM_000406669,1
TTHERM_00298379,1
TTHERM_01146042,1
TTHERM_01161020,1
TTHERM_00041590,1
TTHERM_00391440,1
TTHERM_00446120,1
TTHERM_00752190,1
TTHERM_01248930,1
TTHERM_00402180,1
TTHERM_000430029,1
TTHERM_00471420,1
TTHERM_00825350,1
TTHERM_00193750,1
TTHERM_00046550,1
TTHERM_000859349,1
TTHERM_001028869,1
TTHERM_001207659,1
TTHERM_00160960,1
TTHERM_00918510,1
TTHERM_00502380,1
TTHERM_000467909,1
TTHERM_00193730,1
TTHERM_00418140,1
TTHERM_00046810,1
TTHERM_00157800,1
TTHERM_00047070,1
TTHERM_00500880,1
TTHERM_00624270,1
TTHERM_00637680,1
TTHERM_00863790,1
TTHERM_00933070,1
TTHERM_01107340,1
TTHERM_00047120,1
TTHERM_00941400,1
TTHERM_00623020,1
TTHERM_00670360,1
TTHERM_00355070,1
TTHERM_00047270,1
TTHERM_00052600,1
TTHERM_00624740,1
TTHERM_01100390,1
TTHERM_01108500,1
TTHERM_00047280,1
TTHERM_00194530,1
TTHERM_00411740,1
TTHERM_00535680,1
TTHERM_00575360,1
TTHERM_00797930,1
TTHERM_00047450,1
TTHERM_000475138,1
TTHERM_00243970,1
TTHERM_00101549,1
TTHERM_00047580,1
TTHERM_00363210,1
TTHERM_00492940,1
TTHERM_00703830,1
TTHERM_00760600,1
TTHERM_01344690,1
TTHERM_000476461,1
TTHERM_00649220,1
TTHERM_00727670,1
TTHERM_00420110,1
TTHERM_00050620,1
TTHERM_00590510,1
TTHERM_00942970,1
TTHERM_00624890,1
TTHERM_000522689,1
TTHERM_00254590,1
TTHERM_00530640,1
TTHERM_00653830,1
TTHERM_00691130,1
TTHERM_00052400,1
TTHERM_00375130,1
TTHERM_01027490,1
TTHERM_00052430,1
TTHERM_00471990,1
TTHERM_00842510,1
TTHERM_00502100,1
TTHERM_00582290,1
TTHERM_00675670,1
TTHERM_00564500,1
TTHERM_000532349,1
TTHERM_00823920,1
TTHERM_000537169,1
TTHERM_00085290,1
TTHERM_00136150,1
TTHERM_00161530,1
TTHERM_00261960,1
TTHERM_00313610,1
TTHERM_00446569,1
TTHERM_00653870,1
TTHERM_00794080,1
TTHERM_00809390,1
TTHERM_00822020,1
