"TTHERM_ID","Ll_GSM283687","Ll_GSM284355","Ll_GSM284362","Lm_GSM283690","Lm_GSM284357","Lm_GSM284363","Lh_GSM283691","Lh_GSM284360","Lh_GSM284364","S0_GSM285363","S0_GSM285554","S0_GSM285561","S3_GSM285542","S3_GSM285555","S3_GSM285562","S6_GSM285543","S6_GSM285556","S6_GSM285563","S9_GSM285544","S9_GSM285564","S15_GSM285559","S15_GSM285566","S24_GSM285547","S24_GSM285560","C0_GSM285570","C0_GSM656230","C4_GSM285574","C4_GSM285588","C4_GSM656234","C6_GSM285575","C6_GSM656232","C8_GSM285576","C8_GSM285590","C10_GSM285578","C10_GSM285591","C12_GSM285579","C12_GSM285592","C12_GSM656237","C14_GSM285580","C14_GSM285593","C14_GSM656238","C16_GSM285582","C16_GSM285595","C16_GSM656239","C18_GSM285583","C18_GSM285596","C18_GSM656240"
"TTHERM_00000010",5.02802898090802,4.70792124615119,5.03685157516897,6.07563639131307,4.54781431206397,4.67297839346443,5.77593791305457,5.33797889034841,5.38260900970809,9.44129555719017,7.77822645779299,8.54763942518801,9.15582149277144,8.60890361361457,8.06270133951801,10.670182281598,9.86122931273206,7.62084197940568,9.65169796588114,8.47637545852398,7.00809660556934,6.48721336457675,7.77888710965381,7.26697305976385,10.808816199089,9.87130854662639,6.85497612614481,6.56313314427974,5.61634676786195,6.38084796706244,5.03676016233757,6.33669957128975,6.03025080949154,5.90910276510961,6.03478191827041,6.17941211994935,6.31992179656403,6.34284962655141,7.48911722158977,7.54758908285178,7.43338707488325,7.18237919785401,7.72185216203597,7.11381809241072,7.6575165962556,7.52030736904184,7.01750610148117
"TTHERM_00000020",4.6695616748829,4.61740250115702,4.93147305688425,6.94280200198074,5.09929857027197,4.71738397560362,8.46976334802552,4.49705838422937,4.8817551085358,8.57810912816649,8.93102580142244,9.05162889168635,7.43925518508301,8.05485488120283,5.54653281886316,8.17517381155637,6.87170244028847,5.79834602862866,6.46884501060961,5.67855266266559,5.22873080103139,5.07930909004961,5.65448769554782,5.19105156861004,8.62054796978161,5.5591796804485,4.43813981960559,5.71556487515018,7.83216612863068,5.36282102102052,5.36691290344984,5.34235496763649,5.17945082079813,4.95761280698931,5.4409108821132,5.02801314439774,5.5792898062751,5.23396198910527,4.95422290571397,5.75720033075185,5.2523040213372,5.22186832448877,7.08953947578824,5.2384827513819,5.01986555302554,5.49039445178089,5.0063904844578
"TTHERM_00000030",4.62999786993407,4.51261655140233,4.90208979691053,5.04056071563684,4.55822113769501,4.89130699715086,5.93440441698691,4.49219945736222,4.72709866488002,8.8424446127644,8.94489091632477,8.41581123791288,7.57589060685123,6.70479672906669,5.57676400944634,9.59324739064954,8.56488403489974,5.32577648065985,8.50440989414757,5.48457617670137,5.39137258963026,4.73388546260751,4.82416387231136,4.9039737996285,6.03987611455619,4.73786127089512,5.55516697351801,5.78146563875563,5.43938087325432,4.72745566686545,5.18402374958487,4.74652629191748,4.62727892916642,4.8127235666744,4.81824831590536,5.17259655077519,4.8454595308799,4.63095138071061,4.90194132934617,4.61267898948962,4.86822723851751,4.76107794389777,4.72415583934758,4.48307139894456,4.81254285946475,4.93951197247842,4.63613482359487
"TTHERM_00000040",9.58048656636712,8.05582123289162,8.30705678270613,10.5457500671523,8.28965622400335,8.86526653484467,11.6331858952444,8.20876027185605,8.65666596373784,8.80262157860773,10.2457022918293,10.717284484139,9.16662054484643,9.32515773385219,9.52164642338594,9.05619390119647,8.64455169121913,8.75313956786519,8.90200879786336,9.44297334787499,9.36629348764815,9.93227137447331,9.83601578818552,9.60915008440078,9.80850588218416,8.83686946929942,9.21066803058748,9.46218312217932,9.28200043619998,9.85475015927957,9.27030111675425,8.1887382079121,9.02728138934324,6.99727487732341,7.51440804097092,7.55845296623743,7.3729556571852,7.98477226617251,8.44169290839824,8.08838708548596,8.15620810736704,8.67301518097273,8.50329015252641,8.22731201806616,8.53222593137808,8.76830091239619,8.82115128427546
"TTHERM_00000047",6.94715994526931,7.27008203155906,6.93293498862633,6.731855104481,6.96041085823477,7.15966120144014,6.1253658586771,6.88080995764807,6.65094807212594,6.32656707257913,5.82401854986123,6.29307773773377,6.04645094710412,6.38416227503543,6.93388798793967,6.01326496285522,5.78016265657217,6.87908005882728,6.4885038990094,6.99959199605757,6.32971225703208,7.13251490778998,7.11099330116091,6.735864929043,6.16113826002917,5.03782100932145,7.88193600957473,7.54049515012064,6.51871049797001,7.00357612725274,6.39502421907487,8.15850621501048,7.92663815888505,6.63017420217908,6.65628555886924,7.54971269941375,7.77179681020886,6.44422220645624,8.06430245252239,7.79041821654732,7.05199963395212,6.52704966675863,6.91861075952006,6.04234094321604,7.03868027523308,6.75590944072023,5.81268368594421
"TTHERM_00000053",11.4100067545106,12.1188579471065,11.423208663818,11.5557563412927,12.3702181426361,11.6048624471451,11.9050894081537,12.3732114667046,12.2329391631756,12.6392321319226,12.2239167158019,12.2918261222016,12.3060055862301,12.7097313682465,12.6536175243759,12.5075476866626,12.6911907031211,13.1106689222883,12.9107766889252,13.13786097094,12.9013859123308,12.9181587214269,12.8656435253375,13.2321931124583,13.2120724545003,13.385054553418,12.7521354403871,12.6256049302384,12.4530833579832,12.4176760591871,12.6140569132524,12.3368816651575,12.1667447831299,13.1447056404546,12.6285285356642,12.6309477766183,12.6899964561161,12.8010870428244,13.0470039829449,12.959610544936,12.518196447065,12.9564615458866,12.8036111151292,12.5221464778247,13.1533563505586,12.9269042519457,12.4199556650319
"TTHERM_00000070",4.73856227488692,6.04061701884287,6.87642673884706,5.58649148514294,6.10048880576409,6.08239897937028,7.24281766178809,7.71655087994803,7.59721051411067,6.0560497579697,5.93309511542439,5.55229932455121,7.85798314212998,7.53916225280168,7.74460139441078,8.672439160015,8.73944542044874,9.49154760376053,10.5725143839265,7.03413891796321,5.23371039176287,5.15656318341923,5.012315136036,5.00427322048332,5.42399426144209,8.67542597304847,4.53738210483087,5.76347280804594,6.16043418253727,4.75539758164451,5.27846621225134,5.2146057007727,5.55981969602423,7.10049728713896,7.01382820751023,5.52746587025413,6.61046457498917,6.60002752929943,5.27939591660108,5.88785629448816,5.36201343864428,5.68400352516756,6.59975339962958,6.68919546764335,7.553206054487,7.41098453287184,6.48026862738571
"TTHERM_00001080",10.7938269375003,11.7536774190755,10.7996053072676,10.4068729741644,11.3771349190714,10.7821771890962,10.5949163889678,11.7147634930087,10.63578032578,12.4281037796445,12.2880231405361,12.2595037231598,10.4757752303422,11.7792201540589,10.7353356736069,10.5065242174028,11.6335032468202,11.8425370715041,10.9005553715189,10.9682547004833,11.991795843413,12.044183493004,10.2671098649989,11.9074668183743,10.4495800540348,12.1485314648861,10.0840313627548,9.75039749603635,11.885567799417,12.0928249484809,12.5740969086173,9.74379943242579,10.4845561419653,10.3598790135291,10.4426069747764,10.3934310991928,9.97619558001681,11.3199130496848,10.3153409886534,10.2264195753758,11.0476586601798,10.499906802049,10.3687298182215,11.7702021080443,10.2417832106488,10.3838363345651,11.5496095229521
"TTHERM_00001090",6.59820102390257,7.11269047526809,7.24751525243908,6.42179736189537,6.99362896564524,7.15639261938557,5.78058889189158,7.5628320018819,7.74984633503225,8.85745907552696,7.87771975183366,7.59502278597528,7.57773898374488,7.52945827436301,7.9687891223909,7.50945644193599,7.53064235583006,7.65603563744089,7.5153568936194,7.69649075215876,7.25259459351213,7.36103123017034,7.68065879403719,7.77089398539369,7.60319282109092,8.42440823319086,7.69388950737748,7.60247658194828,6.93512141955953,7.64690555196435,7.67142041361804,7.53321834486805,7.81863734639174,7.09672565404322,7.16881948874805,7.15571600039132,7.24541685439777,7.19393899783958,7.10118179259363,7.47800687705674,7.07493341823307,8.15518720036467,7.90472549208066,7.13829213524655,7.90313755503946,8.17278760978599,7.5289656976908
"TTHERM_00001120",11.6567175029295,11.4868318926427,11.5253181990202,11.9028118065836,11.7679529914745,11.8001633120096,11.8131542756941,11.4601979065949,11.8141861365594,10.8651644726091,10.975016711425,10.4286685444926,10.3505053273441,10.367756920043,9.74453286261091,9.81992263105296,9.90506662358995,9.20487399710701,9.21560986885652,9.60962021728282,9.28334926593358,9.65230815347376,9.76798819816761,9.69973462596231,8.92006893463167,7.91821736726806,7.15962413432094,8.10623277879492,7.37576675904646,10.7956482158096,9.37044476490885,9.97502524929054,10.1542349931351,9.29465713296597,9.57331142346112,9.93981221916748,10.0275718037867,9.82665746357565,9.90119386541408,10.3486058596658,10.4228488761257,9.78349471975029,10.0238937325872,9.73731547992941,9.71932135457654,9.73068883133633,9.91763038232955
