TTHERM_ID,000min_A,000min_B,030min_A,030min_B,060min_A,060min_B,090min_A,090min_B,120min_A,120min_B,150min_A,150min_B,180min_A,180min_B,210min_A,210min_B,240min_A,240min_B
TTHERM_00249810,0.122201,0.324741,1.101,0.958622,0.650924,0.867085,0.289959,0.675603,0.228986,0.529849,0.240032,0.521146,0.253407,0.439251,0.409063,0.495821,0.568757,0.578852
TTHERM_00249835,0.103122,0.178115,0.198219,0.100816,0.0,0.505479,0.111659,0.394927,0.438953,0.350017,0.114922,0.186464,0.0,0.0,0.0,0.0,0.27642,0.386259
TTHERM_00249860,1.074,1.17204,0.237366,0.291156,0.341009,0.416883,0.418926,0.404756,0.433261,0.612195,0.795683,0.591218,0.888147,0.74232,0.894311,0.800379,0.514477,1.07335
TTHERM_00249870,7.76272,9.76961,6.92104,8.09942,7.17593,8.06088,9.50942,9.45721,12.7329,9.11935,13.953,8.39501,13.2278,10.0522,14.7544,11.3309,15.1039,12.3146
TTHERM_00250870,56.5217,50.4589,19.0374,21.2197,13.0963,16.7858,13.8932,16.1928,15.8123,17.2074,20.3032,21.4055,22.7179,22.3197,25.0384,20.9191,24.3706,22.5397
TTHERM_00250890,2.43632,1.87068,2.37046,2.49823,2.09429,2.10675,1.56821,1.71193,1.63134,2.16897,2.39101,1.78612,3.22936,2.32856,3.49751,3.17946,2.52103,2.63609
TTHERM_00250900,0.0126511,0.0552526,0.101735,0.218225,0.126777,0.253714,0.0895102,0.279877,0.102116,0.290458,0.0793697,0.191654,0.0602818,0.048194,0.0638759,0.0634204,0.14857,0.0293923
TTHERM_00250910,18.1443,24.2595,20.1162,25.0869,42.8566,39.9543,36.9057,30.8558,31.3143,28.9051,45.7183,27.7076,51.7067,35.2278,46.0442,39.7114,41.7094,40.9523
TTHERM_00250920,0.0327936,0.0544578,0.061965,0.177758,0.42693,0.504428,1.21361,0.925262,2.55301,1.1771,4.4143,1.41329,2.50903,1.68762,0.557493,1.43317,0.401665,0.865133
TTHERM_00250929,0.114137,0.284279,0.0154955,0.0321578,0.0,0.0394055,0.0,0.0461913,0.0350376,0.0563727,0.0185424,0.0447881,0.0312251,0.0623532,0.0829622,0.0989099,0.028498,0.0606972
TTHERM_00250930,0.0232161,0.0318858,0.00313347,0.0424924,0.0199283,0.0185997,0.0180498,0.0436695,0.0571392,0.0402566,0.094664,0.0457137,0.0852162,0.0725626,0.0208829,0.0762885,0.0230486,0.03697
TTHERM_00250940,26.1873,23.7522,41.2928,27.201,41.1994,28.935,34.589,27.2206,29.042,24.1383,31.9579,22.6953,34.1396,30.3576,37.0914,34.5132,33.8908,33.8147
TTHERM_00250945,0.0871304,0.45176,0.334232,0.25563,0.175922,0.567197,0.28402,0.582409,0.557735,0.148203,0.194234,0.472298,0.169428,0.335232,0.109602,0.178,0.0775297,0.326577
TTHERM_00250950,1.90982,1.45911,2.25856,2.14184,2.2753,2.14207,2.49452,2.13993,3.0634,2.20396,3.53011,2.14828,3.86046,2.6906,3.27577,2.96703,2.55146,2.70392
TTHERM_00250960,23.6903,22.2079,11.7284,15.907,8.87656,11.6431,9.58225,12.5059,16.6782,17.861,27.916,20.4646,35.7411,26.5811,31.2531,30.8065,23.6495,28.1634
TTHERM_00250970,26.9213,18.6652,42.7119,20.2734,27.7734,22.8604,29.0122,21.0055,30.0375,21.8317,28.3157,23.9577,30.9568,31.1661,42.7923,30.9283,50.5651,38.4959
TTHERM_00250990,9.18619,11.6719,2.97321,6.68839,1.57209,4.58199,1.48846,3.09347,1.94074,3.59391,2.41761,4.85376,2.91929,3.8284,2.49344,2.70418,2.98896,2.39566
TTHERM_00251000,0.824309,1.34396,0.573493,0.936956,0.312013,0.749634,0.357084,0.816124,0.425319,0.815786,0.498608,1.00337,0.601786,0.641373,0.627438,0.73497,0.878891,0.922655
TTHERM_00251020,0.00193378,0.00845301,0.00365176,0.0,0.00387199,0.00774171,0.0021048,0.00181793,0.00208272,0.00335427,0.00662616,0.00711044,0.0,0.00735407,0.0,0.00386347,0.00167878,0.0
TTHERM_00251035,1.26306,3.61634,0.740709,2.78313,0.422738,2.04693,0.475313,1.70778,0.519433,1.98158,0.603046,2.28485,0.701512,1.41584,0.911902,0.976858,1.26688,1.4075
TTHERM_00251060,2.55153,5.36686,1.16195,3.15946,0.925621,2.16003,1.19486,3.00698,1.87578,3.78182,1.77942,5.22371,1.74089,3.78831,1.93721,2.14776,1.66786,2.46267
TTHERM_00251070,0.0882105,0.383532,0.0561642,0.202957,0.0,0.166457,0.0,0.0278449,0.0315068,0.177263,0.0332716,0.295053,0.0565555,0.197542,0.0376304,0.0,0.0,0.109665
TTHERM_00251090,27.2471,37.2203,64.0138,55.7677,82.9434,65.5746,61.1502,63.2304,44.0915,51.2547,46.162,44.7693,45.3574,44.4295,40.4059,42.8982,44.7408,43.1852
TTHERM_00251100,1.31841,3.23972,3.70464,9.43339,3.47538,8.53972,4.72361,9.19632,6.83809,10.6146,5.3444,12.1368,2.64901,5.75126,2.2746,3.79808,3.6422,3.78245
TTHERM_00251110,0.0649055,0.0755238,0.0307648,0.106648,0.0,0.104333,0.0117757,0.0509898,0.0116334,0.056173,0.0739368,0.0694379,0.020662,0.0516017,0.0411077,0.0544328,0.0471493,0.050297
TTHERM_00251120,0.379351,0.442328,0.536292,0.603497,0.413176,0.553857,0.270946,0.434291,0.327032,0.385313,0.414853,0.401126,0.531764,0.487722,0.458382,0.563544,0.3635,0.547387
TTHERM_00251130,0.144932,0.569026,0.206208,0.309603,0.121181,0.194249,0.0788856,0.250589,0.0779149,0.344837,0.13753,0.232499,0.115413,0.184451,0.0459415,0.0851728,0.179086,0.146032
TTHERM_00251150,1256.83,1324.69,1718.45,1056.37,1992.66,945.791,1432.85,900.728,1111.29,874.034,712.819,648.69,606.482,556.756,905.203,563.941,1144.92,642.545
TTHERM_00251160,0.499041,0.378876,0.447147,0.289471,0.411192,0.251259,0.297975,0.270842,0.267162,0.212649,0.263753,0.220139,0.287592,0.244094,0.308723,0.253724,0.331874,0.206606
TTHERM_00251170,0.0442614,0.174111,0.106826,0.13086,0.0837103,0.114219,0.0508527,0.0971058,0.0794439,0.0725002,0.0758198,0.0971826,0.0959023,0.0678111,0.105214,0.0860106,0.102491,0.121047
TTHERM_00251190,13.1484,11.2281,55.8184,14.9258,7.3162,6.13383,4.94345,6.45195,5.41638,6.17786,5.59552,7.08968,6.69691,6.99051,7.10649,8.3149,5.13575,8.01837
TTHERM_00251230,0.0429363,0.0254774,0.0253246,0.0249332,0.0337658,0.0251573,0.0225319,0.0273799,0.0239521,0.0345877,0.0192728,0.0204458,0.0262351,0.0313306,0.0240905,0.0267808,0.0246144,0.0299024
TTHERM_00251240,2.04898,1.85369,2.10001,1.5588,0.621905,0.895272,0.66089,0.88285,0.516713,0.831559,0.633601,0.915797,0.544033,0.748666,0.497368,0.535424,0.518638,0.494113
TTHERM_00251260,0.0662288,0.0288658,0.0472104,0.0653071,0.0166277,0.0266792,0.018025,0.0,0.0,0.0143101,0.0188275,0.0,0.0,0.0,0.0,0.0167433,0.0,0.0308187
TTHERM_00252270,0.0115152,0.0200957,0.0327591,0.0567646,0.0231047,0.0185157,0.0,0.0,0.0,0.0,0.0,0.0105574,0.0,0.0329666,0.0,0.0115954,0.0100412,0.0
TTHERM_00252280,0.0923371,0.144886,0.157995,0.190689,0.350639,0.24004,0.322182,0.247841,0.264153,0.241483,0.228695,0.222242,0.207582,0.184291,0.180415,0.197915,0.199306,0.201014
TTHERM_00252290,0.174585,0.136055,0.229792,0.159844,0.131378,0.125905,0.113532,0.100506,0.206172,0.13843,0.27879,0.131693,0.307297,0.175128,0.313219,0.256646,0.264189,0.211357
TTHERM_00252300,7.3428,1.77398,2.51902,1.20717,0.695092,0.482614,0.751529,0.684196,1.54654,0.891653,1.13577,0.744193,0.876436,0.813896,0.803812,0.480287,1.48987,0.849457
TTHERM_00252310,0.967834,2.43402,0.3445,0.946403,0.434633,1.03166,0.480401,1.18132,0.566501,1.20705,0.388438,1.51358,0.295345,0.74517,0.264169,0.450778,0.525703,0.64052
TTHERM_00252325,0.166099,0.239729,0.0,0.0544033,0.0,0.0449568,0.0,0.0526124,0.0,0.0,0.0,0.0501983,0.0,0.0,0.0,0.0565065,0.0,0.0
TTHERM_00252339,0.030032,0.0,0.00568167,0.00592031,0.0060186,0.024088,0.0,0.00565381,0.0,0.0104085,0.013704,0.0110303,0.0114463,0.0,0.0151595,0.0120409,0.0052242,0.0223264
TTHERM_00252350,0.0243153,0.0354143,0.0344707,0.0119823,0.0405906,0.0259819,0.0176443,0.0190616,0.0218157,0.0421553,0.0786386,0.037231,0.0694417,0.0616975,0.066382,0.068942,0.0246512,0.0376489
TTHERM_00252386,0.0152892,0.0106909,0.0317756,0.00904087,0.0153105,0.0195963,0.01997,0.00862703,0.00658549,0.0106053,0.0139657,0.0281003,0.00872875,0.0232679,0.00769996,0.0152874,0.015936,0.00568078
