,TTHERM_ID,leiden_label_full
10502,TTHERM_00652540,658
10522,TTHERM_00649480,658
10676,TTHERM_00649180,658
10576,TTHERM_00633020,658
10579,TTHERM_00632940,658
10596,TTHERM_00630500,658
10638,TTHERM_00630030,658
10603,TTHERM_00628650,658
10679,TTHERM_00622890,658
10680,TTHERM_00600370,658
10646,TTHERM_00592740,658
10562,TTHERM_00590170,658
10665,TTHERM_00585170,658
10508,TTHERM_00570550,658
10554,TTHERM_00558350,658
10582,TTHERM_00554620,658
10675,TTHERM_00554390,658
10537,TTHERM_00550920,658
10664,TTHERM_00537380,658
10669,TTHERM_00535980,658
10569,TTHERM_00532440,658
10534,TTHERM_00526730,658
10674,TTHERM_00526200,658
10525,TTHERM_00516380,658
10634,TTHERM_00500780,658
10553,TTHERM_00497590,658
10602,TTHERM_00496990,658
10668,TTHERM_00495950,658
10549,TTHERM_00494700,658
10521,TTHERM_00494040,658
10666,TTHERM_00492620,658
10618,TTHERM_00492550,658
10552,TTHERM_00473020,658
10585,TTHERM_00471040,658
10584,TTHERM_00445920,658
10663,TTHERM_00440600,658
10611,TTHERM_00438870,658
10598,TTHERM_00431230,658
10557,TTHERM_00426190,658
10657,TTHERM_00425930,658
10529,TTHERM_00420770,658
10659,TTHERM_00420720,658
10609,TTHERM_00420250,658
10578,TTHERM_00410180,658
10520,TTHERM_00402020,658
10658,TTHERM_00401970,658
10574,TTHERM_00392830,658
10577,TTHERM_00392790,658
10524,TTHERM_00390080,658
10655,TTHERM_00388430,658
10654,TTHERM_00355700,658
10624,TTHERM_00349080,658
10545,TTHERM_00348020,658
10597,TTHERM_00348010,658
10652,TTHERM_00343930,658
10645,TTHERM_00340180,658
10642,TTHERM_00340010,658
10505,TTHERM_00339750,658
10507,TTHERM_00338330,658
10649,TTHERM_00332190,658
10591,TTHERM_00329940,658
10601,TTHERM_00321720,658
10513,TTHERM_00321680,658
10644,TTHERM_00318900,658
10622,TTHERM_00317390,658
10606,TTHERM_00314860,658
10640,TTHERM_00312200,658
10637,TTHERM_00285430,658
10630,TTHERM_00283800,658
10636,TTHERM_00283760,658
10635,TTHERM_00268260,658
10633,TTHERM_00245540,658
10632,TTHERM_00242590,658
10573,TTHERM_00242080,658
10629,TTHERM_00241790,658
10627,TTHERM_00227750,658
10625,TTHERM_00227390,658
10511,TTHERM_00222260,658
10621,TTHERM_00218690,658
10528,TTHERM_00194310,658
10550,TTHERM_00194220,658
10608,TTHERM_00190910,658
10617,TTHERM_00187110,658
10565,TTHERM_00185860,658
10501,TTHERM_00171640,658
10556,TTHERM_00158010,658
10613,TTHERM_00155630,658
10610,TTHERM_00149799,658
10607,TTHERM_00145940,658
10600,TTHERM_00145480,658
10605,TTHERM_00141050,658
10604,TTHERM_00141040,658
10599,TTHERM_00140780,658
10568,TTHERM_00133760,658
10595,TTHERM_001044376,658
10593,TTHERM_001019601,658
10567,TTHERM_000962138,658
10592,TTHERM_000922911,658
